Threshold Error Accuracy
0 1.71244 0.499487
0.001 1.71244 0.499487
0.002 1.71244 0.499487
0.003 1.71244 0.499487
0.004 1.71244 0.499487
0.005 1.71244 0.499487
0.006 1.71244 0.499487
0.007 1.71244 0.499487
0.008 1.71244 0.499487
0.009 1.71244 0.499487
0.01 1.71244 0.499487
0.011 1.71244 0.499487
0.012 1.71244 0.499487
0.013 1.71244 0.499487
0.014 1.71244 0.499487
0.015 1.71244 0.499487
0.016 1.71244 0.499487
0.017 1.71244 0.499487
0.018 1.71244 0.499487
0.019 1.71244 0.499487
0.02 1.71244 0.499487
0.021 1.71244 0.499487
0.022 1.71244 0.499487
0.023 1.71244 0.499487
0.024 1.71244 0.499487
0.025 1.71244 0.499487
0.026 1.71244 0.499487
0.027 1.71244 0.499487
0.028 1.71244 0.499487
0.029 1.71244 0.499487
0.03 1.71244 0.499487
0.031 1.71244 0.499487
0.032 1.71244 0.499487
0.033 1.71244 0.499487
0.034 1.71244 0.499487
0.035 1.71244 0.499487
0.036 1.71244 0.499487
0.037 1.71244 0.499487
0.038 1.71244 0.499487
0.039 1.71244 0.499487
0.04 1.71244 0.499487
0.041 1.71244 0.499487
0.042 1.71244 0.499487
0.043 1.71244 0.499487
0.044 1.71244 0.499487
0.045 1.71244 0.499487
0.046 1.71244 0.499487
0.047 1.71244 0.499487
0.048 1.71244 0.499487
0.049 1.71244 0.499487
0.05 1.71244 0.499487
0.051 1.71244 0.499487
0.052 1.71244 0.499487
0.053 1.71244 0.499487
0.054 1.71244 0.499487
0.055 1.71244 0.499487
0.056 1.71244 0.499487
0.057 1.71244 0.499487
0.058 1.71244 0.499487
0.059 1.71244 0.499487
0.06 1.71244 0.499487
0.061 1.71244 0.499487
0.062 1.71244 0.499487
0.063 1.71244 0.499487
0.064 1.71244 0.499487
0.065 1.71244 0.499487
0.066 1.71244 0.499487
0.067 1.71244 0.499487
0.068 1.71244 0.499487
0.069 1.71244 0.499487
0.07 1.71244 0.499487
0.071 1.71244 0.499487
0.072 1.71244 0.499487
0.073 1.71244 0.499487
0.074 1.71244 0.499487
0.075 1.71244 0.499487
0.076 1.71244 0.499487
0.077 1.71244 0.499487
0.078 1.71244 0.499487
0.079 1.71244 0.499487
0.08 1.71244 0.499487
0.081 1.71244 0.499487
0.082 1.71244 0.499487
0.083 1.71244 0.499487
0.084 1.71244 0.499487
0.085 1.71244 0.499487
0.086 1.71244 0.499487
0.087 1.71244 0.499487
0.088 1.71244 0.499487
0.089 1.71244 0.499487
0.09 1.71244 0.499487
0.091 1.71244 0.499487
0.092 1.71244 0.499487
0.093 1.71244 0.499487
0.094 1.71244 0.499487
0.095 1.71244 0.499487
0.096 1.71244 0.499487
0.097 1.71244 0.499487
0.098 1.71244 0.499487
0.099 1.71244 0.499487
0.1 1.71244 0.499487
0.101 1.71244 0.499487
0.102 1.71244 0.499487
0.103 1.71244 0.499487
0.104 1.71244 0.499487
0.105 1.71244 0.499487
0.106 1.71244 0.499487
0.107 1.71244 0.499487
0.108 1.71244 0.499487
0.109 1.71244 0.499487
0.11 1.71244 0.499487
