Threshold Error Accuracy 2B2JPredictHH
0.000000 3.378224 0.580278 0.001990
0.001000 3.378224 0.580278 0.001990
0.002000 3.378224 0.580278 0.001990
0.003000 3.378224 0.580278 0.001990
0.004000 3.378224 0.580278 0.001990
0.005000 3.378224 0.580278 0.001990
0.006000 3.378224 0.580278 0.001990
0.007000 3.378224 0.580278 0.001990
0.008000 3.378224 0.580278 0.001990
0.009000 3.378224 0.580278 0.001990
0.010000 3.378224 0.580278 0.001990
0.011000 3.378224 0.580278 0.001990
0.012000 3.378224 0.580278 0.001990
0.013000 3.378224 0.580278 0.001990
0.014000 3.378224 0.580278 0.001990
0.015000 3.378224 0.580278 0.001990
0.016000 3.378224 0.580278 0.001990
0.017000 3.378224 0.580278 0.001990
0.018000 3.378224 0.580278 0.001990
0.019000 3.378224 0.580278 0.001990
0.020000 3.378224 0.580278 0.001990
0.021000 3.378224 0.580278 0.001990
0.022000 3.378224 0.580278 0.001990
0.023000 3.378224 0.580278 0.001990
0.024000 3.378224 0.580278 0.001990
0.025000 3.378224 0.580278 0.001990
0.026000 3.378224 0.580278 0.001990
0.027000 3.378224 0.580278 0.001990
0.028000 3.378224 0.580278 0.001990
0.029000 3.378224 0.580278 0.001990
0.030000 3.378224 0.580278 0.001990
0.031000 3.378224 0.580278 0.001990
0.032000 3.378224 0.580278 0.001990
0.033000 3.378224 0.580278 0.001990
0.034000 3.378224 0.580278 0.001990
0.035000 3.378224 0.580278 0.001990
0.036000 3.378224 0.580278 0.001990
0.037000 3.378224 0.580278 0.001990
0.038000 3.378224 0.580278 0.001990
0.039000 3.378224 0.580278 0.001990
0.040000 3.378224 0.580278 0.001990
0.041000 3.378224 0.580278 0.001990
0.042000 3.378224 0.580278 0.001990
0.043000 3.378224 0.580278 0.001990
0.044000 3.378224 0.580278 0.001990
0.045000 3.378224 0.580278 0.001990
0.046000 3.378224 0.580278 0.001990
0.047000 3.378224 0.580278 0.001990
0.048000 3.378224 0.580278 0.001990
0.049000 3.378224 0.580278 0.001990
0.050000 3.378224 0.580278 0.001990
0.051000 3.378224 0.580278 0.001990
0.052000 3.378224 0.580278 0.001990
0.053000 3.378224 0.580278 0.001990
0.054000 3.378224 0.580278 0.001990
0.055000 3.378224 0.580278 0.001990
0.056000 3.378224 0.580278 0.001990
0.057000 3.378224 0.580278 0.001990
0.058000 3.378224 0.580278 0.001990
0.059000 3.378224 0.580278 0.001990
0.060000 3.378224 0.580278 0.001990
0.061000 3.378224 0.580278 0.001990
0.062000 3.378224 0.580278 0.001990
0.063000 3.378224 0.580278 0.001990
0.064000 3.378224 0.580278 0.001990
0.065000 3.378224 0.580278 0.001990
0.066000 3.378224 0.580278 0.001990
0.067000 3.378224 0.580278 0.001990
0.068000 3.378224 0.580278 0.001990
0.069000 3.378224 0.580278 0.001990
0.070000 3.378224 0.580278 0.001990
0.071000 3.378224 0.580278 0.001990
0.072000 3.378224 0.580278 0.001990
0.073000 3.378224 0.580278 0.001990
0.074000 3.378224 0.580278 0.001990
0.075000 3.378224 0.580278 0.001990
0.076000 3.378224 0.580278 0.001990
0.077000 3.378224 0.580278 0.001990
